,arima_forecast,garch_forecast
466,-3.3530738178465474e+98,1.256753227069467e+98
467,-5.4237159933914687e+98,2.0328429816020693e+98
468,-8.773053256508012e+98,3.288195724378569e+98
469,-1.4190725239910367e+99,5.318773372894968e+98
470,-2.295400209559246e+99,8.603304840548347e+98
471,-3.7128913659932925e+99,1.3916151148044837e+99
472,-6.005733657362778e+99,2.25098687497962e+99
473,-9.714487499833102e+99,3.641051219857152e+99
474,-1.5713528565942708e+100,5.889529669400352e+99
475,-2.5417190561719243e+100,9.526523422020927e+99
476,-4.111320849035488e+100,1.5409489994054746e+100
477,-6.6502074974294716e+100,2.4925397372980053e+100
478,-1.0756946826283907e+101,4.0317715540271614e+100
479,-1.7399743552096072e+101,6.5215336873560704e+100
480,-2.814470319207641e+101,1.0548812368309482e+101
481,-4.552505704457076e+101,1.7063078673892845e+101
482,-7.363839670886643e+101,2.760013579406525e+101
483,-1.1911272213329564e+102,4.464419993657855e+101
484,-1.926690586447194e+102,7.22135790507875e+101
485,-3.1164904549407293e+102,1.1680802896529605e+102
486,-5.041034001025815e+102,1.8894113558838555e+102
487,-8.154051541923185e+102,3.0561899754369523e+102
488,-1.3189467981134407e+103,4.943495833702123e+102
489,-2.133443291730036e+103,7.996280091958699e+102
490,-3.4509202990888317e+103,1.2934267057158773e+103
491,-5.581986152069837e+103,2.0921636358653805e+103
492,-9.02906085954127e+103,3.384148989574799e+103
493,-1.4604826630583907e+104,5.473981187376416e+103
494,-2.362382580288088e+104,8.854358993076071e+103
495,-3.8212377296980483e+104,1.4322240156591163e+104
496,-6.180987748854476e+104,2.3166732144413534e+104
497,-9.997967217419896e+104,3.747301206955482e+104
498,-1.6172067077649268e+105,6.061392797272958e+104
499,-2.6158892890577014e+105,9.804518135515061e+104
500,-4.2312938350744645e+105,1.5859156316827433e+105
501,-6.84426806349611e+105,2.5652748621118715e+105
502,-1.1070846684455892e+106,4.149423201788274e+105
503,-1.7907487721648568e+106,6.711839406309977e+105
504,-2.8965997420165235e+106,1.085663862791359e+106
505,-4.685352962887738e+106,1.7560998582042347e+106
506,-7.57872482980967e+106,2.8405538930400873e+106
507,-1.2258856590085633e+107,4.594696811556145e+106
508,-1.982913593922634e+107,7.43208528514487e+106
509,-3.2074331664367e+107,1.2021661918310435e+107
510,-5.188137066934416e+107,1.9445465133052262e+107
511,-8.391995975773378e+107,3.1453730508326784e+107
512,-1.3574351554094517e+108,5.087752625720585e+107
513,-2.1956995766691505e+108,8.229620576698867e+107
514,-3.5516220511696334e+108,1.3311703578912346e+108
515,-5.744874812741782e+108,2.1532153338217233e+108
516,-9.292539053587095e+108,3.48290227942697e+108
517,-1.5031011967557494e+109,5.633718141188911e+108
518,-2.4313195722502004e+109,9.112739189335775e+108
519,-3.93274576267101e+109,1.4740179301077221e+109
520,-6.361355952682296e+109,2.3842763554801385e+109
521,-1.0289719193351197e+110,3.856651688684821e+109
522,-1.6643986261038562e+110,6.23827108533325e+109
523,-2.692223893113051e+110,1.0090625048739067e+110
524,-4.3547677683534226e+110,1.632194441078878e+110
525,-7.043991536068548e+110,2.6401324800208426e+110
526,-1.1393906495033671e+111,4.2705080575165095e+110
527,-1.8430048439556663e+111,6.9076984610899e+110
528,-2.9811257941467e+111,1.1173447605457258e+111
529,-4.822076854368036e+111,1.8073448355503384e+111
530,-7.799880580379054e+111,2.923444463994337e+111
531,-1.2616583871545848e+112,4.7287752541460686e+111
532,-2.0407772522591e+112,7.648961928174166e+111
533,-3.3010296889723075e+112,1.2372467591341067e+112
534,-5.339532766456541e+112,2.001290576894338e+112
535,-8.636883896957346e+112,3.237158589099159e+112
536,-1.3970466464432784e+113,5.23621899386564e+112
537,-2.2597725703201602e+113,8.469770200337702e+112
538,-3.655262394117e+113,1.3700154124678559e+113
539,-5.9125167485119934e+113,2.216048589281245e+113
540,-9.563705838929133e+113,3.58453730181712e+113
541,-1.546963387403276e+114,5.7981163997337174e+113
542,-2.502268223500879e+114,9.378659211558194e+113
543,-4.047507725992472e+114,1.5170314381854246e+114
544,-6.546987504420505e+114,2.4538522325309863e+114
545,-1.0589984821468864e+115,3.9691931409804566e+114
546,-1.7129676579223513e+115,6.420310881620035e+114
547,-2.7707860271333185e+115,1.0385080884843638e+115
548,-4.48184481046708e+115,1.679823718404287e+115
549,-7.249543165154773e+115,2.7171745277707505e+115
550,-1.172639355577444e+116,4.395126306098094e+115
551,-1.896785806943638e+116,7.109272904307631e+115
552,-3.0681184119487115e+116,1.1499501426795772e+116
553,-4.962790503428939e+116,1.8600851992156943e+116
554,-8.027489905541553e+116,3.0087538754324614e+116
555,-1.2984750039125693e+117,4.8667662571299886e+116
556,-2.1003294375018003e+117,7.872167276605379e+116
557,-3.397357463751117e+117,1.2733510170139522e+117
558,-5.49534636348948e+117,2.0596904963503935e+117
559,-8.88891792427803e+117,3.3316225330423934e+117
560,-1.4378140455259494e+118,5.3890177783233e+117
561,-2.325715286295218e+118,8.716927661239064e+117
562,-3.7619270793315027e+118,1.4099940096118242e+118
563,-6.085050665316577e+118,2.280715390104125e+118
564,-9.842785577345531e+118,3.689138148955572e+118
565,-1.5921055263154653e+119,5.967311985147782e+118
566,-2.5752872365302982e+119,9.65233908038102e+118
567,-4.16561857302526e+119,1.5613001290118302e+119
568,-6.738035994505988e+119,2.525458412258899e+119
569,-1.0899012539759719e+120,4.085018679967657e+119
570,-1.7629539889471724e+120,6.607662804773196e+119
571,-2.8516406929588385e+120,1.06881292748284e+120
572,-4.612630104200886e+120,1.7288428718384783e+120
573,-7.461093022944665e+120,2.796464749491631e+120
574,-1.2068582964485883e+121,4.523381055927398e+120
575,-1.9521361591762461e+121,7.316729517453227e+120
576,-3.1576495725948107e+121,1.1835069866912975e+121
577,-5.10761033570302e+121,1.9143645862621146e+121
578,-8.261741127893005e+121,3.0965527118518232e+121
579,-1.33636597113127e+122,5.00878399343938e+121
580,-2.161619422773023e+122,8.101886009210314e+121
581,-3.496496191798491e+122,1.3105088379178524e+122
582,-5.655706777272544e+122,2.1197945914178538e+122
583,-9.148306589183911e+122,3.428843041565247e+122
